efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
10.0,2.146029846528995,34.67546456451662,76.54068269556309,51.37201514093978,77.46909213656781
20.0,1.7915509689799394,-35.07960915124511,74.07803489313095,44.39578901501642,72.13493089549675
50.0,0.9171204958482196,-52.35503076533072,110.46240763262988,58.66586505477819,64.64649840517218
40.0,0.934427614493749,-48.26065368973007,71.39396976103319,41.540433039017095,69.00801001778055
50.0,1.0477412188155892,-51.58921047419484,125.03037950820172,70.89600857794224,67.4138359030749
10.0,2.3608370035767816,32.80164185017557,74.66996595306611,48.87004746042424,76.63897433087405
20.0,3.8820814041945018,-25.52122981835239,77.85133406145938,115.0985613152996,169.2887205951787
30.0,1.0599962725351149,-48.54477928893306,76.69141718934105,48.066897822532546,73.60252590546025
50.0,1.0693959816096563,-52.71013173238595,91.75637326809267,53.6070134813782,68.99115614553418
10.0,2.024874804862067,-35.47195749779321,82.5653313525398,57.87900883195512,83.81982054268539
30.0,1.3009275710532138,-40.302435410153706,90.97997790820185,47.3771920707424,63.68824785665407
50.0,0.9996888467628542,-54.723613992448215,124.59418294164558,67.70804111878076,65.61527615596235
10.0,2.4810068391832303,-30.95893220718928,77.91297884334172,44.322395831701854,68.54790205206749
20.0,4.203421654733952,-24.80559552073966,74.37171738989899,108.10732282131156,169.75152103840608
30.0,3.774432971426569,-24.87600037429773,75.7224133350456,111.9339014556296,172.58447313024013
40.0,0.8516142253530296,-50.98559745539976,86.23280726341223,45.285823736911624,63.81316560018213
50.0,0.8214244109883249,-55.57616402487781,120.26913197125936,58.14189552022628,59.45269205626482
10.0,3.2901558119855525,30.28575863618668,85.99217886570473,76.6596006165747,104.7157849497844
10.0,2.791612967956359,30.27731175690023,72.2090118580435,50.960829087658176,82.85011242018506
40.0,1.3219617118782143,-51.76425018545154,97.61513553632976,47.72472709751234,59.41158489474481
50.0,2.938829567690308,-19.84813760862829,80.4193674475389,48.909177668849274,72.05048784360834
20.0,1.391926275433676,-47.331189041984615,94.88193100704548,43.84519008395319,57.30555152100814
10.0,2.6101865945333973,31.73953142137897,78.39586399857708,59.07060707741347,88.15091252314545
20.0,2.3066114940034352,-32.27731767526784,71.37321730879856,46.525965749683984,76.81888962354138
30.0,1.6580787124308831,35.67300668497067,76.01101855015432,42.15145198619486,66.20095525215706
40.0,1.013730161927936,-54.87161968070149,90.10404900676376,47.441433479954135,63.23177450359422
50.0,0.909801175031484,-54.33287716322447,110.30419835920804,56.501061681926366,61.744145430136
10.0,2.4748322065319246,34.00269554193939,84.26588950743354,60.85477336763582,86.19010433297116
50.0,0.9523632804413956,-55.26930743198057,118.50493446706072,63.26707977645022,65.06458719956359
10.0,2.732670543432868,31.009505824645466,72.36257099513212,49.23019979811795,78.484456547682
40.0,0.9516550510533353,-54.68027425913274,106.8327266943508,57.67643324872375,63.51341649341092
10.0,2.6337609283810504,-31.36809235491909,84.97736450069786,51.398265663562384,72.73082564415266
10.0,2.9906539831298105,29.01157009241145,70.25624887325243,58.22453980400518,93.38922364848128
50.0,10.049664597675006,-13.809844697372569,92.74644742632748,60.17737002257043,74.01856113533802
10.0,2.940263850971113,31.189690471290326,83.80578746117726,69.2738154526087,96.39981086429988
20.0,2.801665157773792,-31.29933615993859,75.07349637851429,54.60051035095145,85.23758282843207
50.0,1.2061622245322432,-50.68155504131436,103.2491889938362,61.99765512153332,71.18743066780709
10.0,2.507788803507701,33.40075452230847,80.48977591438495,51.27817674534134,76.79595529840844
10.0,3.1037162736844786,30.494483359831857,81.03857147371293,68.20958034472028,98.4268182815538
20.0,4.442050723431897,-24.20632055784684,70.77964555380703,108.06115721411584,176.49746836654168
10.0,3.1746949398918547,29.580100407074003,71.47532296576492,54.21724169615928,86.76303490357515
20.0,2.632599434078296,-30.69723421607966,72.74045439496876,46.95234773741493,74.4747861125398
50.0,4.3833592757171065,-25.875870327642,80.04821628433623,119.02628693020011,167.4673780668865
10.0,2.8813019694003392,31.41183459374493,81.27112443070841,61.73204349490443,91.407312434225
20.0,4.299060047932595,-23.91278747381115,71.2172696414689,106.60165191421262,177.61473316639717
10.0,1.964256271039833,36.664433669966,82.83611969581737,54.9650518813618,78.99904383384327
20.0,1.5373676947626012,-38.48955082971261,84.37470932151585,47.83256860238791,68.25035043768345
10.0,2.898558339178135,31.31461214040289,81.52566200409679,64.47294015098247,92.579933269855
30.0,2.0918320365443392,33.2793329620499,80.32898705366982,47.726915894367714,70.63790990712482
40.0,2.3143607138512627,-50.67020003765118,114.11021765394004,57.394659746063226,60.90692969349365
50.0,0.9815815977159206,-54.015938499022106,107.62433653787274,55.288169489709475,62.01835159732438
10.0,1.9825420190387444,34.16056923089841,74.37047574973148,48.83210229862873,78.15699477156227
20.0,4.198006568527897,-24.330651932125644,75.26521278528796,112.0502588514847,173.4092697242681
20.0,1.3558622392041808,-41.48448525414947,78.48807938780254,49.84747522456729,74.29988763372131
50.0,5.570437927302692,-24.581935128981627,73.69594511986982,109.54506456368848,169.66769796019355
10.0,3.1544588754331864,30.27071729026604,77.96286910558912,68.67434949536718,100.58863290011216
20.0,3.0413452656324185,-30.23121438426773,71.91922451008911,56.383707819276715,89.88285832181566
30.0,2.7123362346297126,31.300286832082136,70.5514121166341,48.17170171505341,78.79350852418655
50.0,3.413477181720466,-23.5179071160006,87.18119084181521,57.06986184020276,75.73477997277881
10.0,2.3727016678720685,32.2930481169317,76.26495827744402,58.49356220063336,88.24861570151577
50.0,4.757729502259913,-23.952084106482054,72.35015644905991,111.59779419743822,174.77459202681297
20.0,3.674474729480735,-25.740310225566827,79.0502742585103,117.77831773953426,169.49721958206698
30.0,3.4887116449712163,-25.237890103805466,76.89685586078951,114.12867195075675,168.8535993639467
50.0,9.439726410853552,-12.12284694037783,88.5728476414215,59.76169128241428,78.38793694394622
10.0,1.9807730882641328,35.84221308461521,81.97171558605943,55.29176142401435,81.09475452341151
20.0,1.5597707430518442,-37.87925379186761,78.05509652090659,45.48104586225402,70.7183188851937
10.0,2.6792366659839844,32.27340137350517,85.9131920619899,68.4526654288711,95.77077255879982
40.0,1.066864213389629,-49.74589979520032,72.14423739866925,42.904916215037744,72.53218794622185
10.0,3.46188205891662,29.439685846202178,80.02092716437556,65.14846602157253,98.19876961438574
50.0,11.104933777341492,11.411876887195875,75.90743576352072,50.76758104762455,77.98792554278161
10.0,2.8439162422092212,31.842819316560732,81.73938311293206,62.10581022017968,87.95450139482452
20.0,1.4600044711541365,-42.907293327470455,92.07955569026365,64.00551669401544,82.35501921454397
40.0,20.70457275438921,-8.771495869090476,84.23824489784882,42.471895587242045,60.51678729048586
10.0,4.1148667775350924,-28.47916878034427,80.81366658992964,73.16314120837295,106.35207607209708
50.0,15.319323439360067,-12.443552175486165,74.48003120806136,40.41334202987653,65.54728750893146
10.0,2.7411184837555163,32.639843883903104,86.49473860833031,71.4451678865998,95.36989882607652
