efield (kV/cm),t_ul (ps),z (A),g (cm/kA),fom* (eV ps A^2),Ediff (meV)
30.0,4.056082233595857,-24.442055163290515,75.57043866893326,112.5779045065605,172.77743808518775
40.0,1.0933018824129412,-48.39498111623894,84.56562968809455,49.56565277919323,70.02221119489215
50.0,7.7950141064630785,13.828944711200366,87.84836991979242,46.23207084002266,63.56597906562126
60.0,46.18989331726896,5.593670670224954,87.236169767791,66.68959946405684,89.94792419655205
70.0,85.6160256443751,4.213947980975287,82.34658177243594,80.0899538720578,113.61888186593056
80.0,4.0065676805339185,-21.077486887339,120.0423474540748,95.86840437875138,93.81480975237812
90.0,6.605776871481553,-16.086304134285232,76.88520211808991,68.30681863217556,104.02085823120476
100.0,4.1629894656263975,-21.59815357641541,134.5782264519076,128.7427173166593,111.79750203267376
110.0,4.241911911848309,-23.1632471280632,141.56599507990524,144.39536688137383,119.03165608268957
120.0,7.9699861819237725,-11.227077293101964,13.518498729691393,24.95154864799471,213.4085842652157
130.0,6.134739327112451,-22.207216236265673,37.80391368563164,41.16816298266194,126.92076903752104
140.0,1.3480655182681822,-31.993342918462076,48.421090479839144,23.385408063916785,59.08751881103137
150.0,5.627140476342016,-20.16263963641584,26.92888999749435,30.01496478392082,129.85013301377705
10.0,2.424736782088661,33.629642091914846,85.842095326685,66.0650373376595,89.9833116738662
20.0,5.299794330223505,-22.412581391027683,51.10994959455154,78.72052597937669,177.44024079032525
30.0,4.201268820343125,-23.881651249711968,73.21720827636246,113.52822756317906,178.61571807663674
40.0,1.2530296644840828,-42.66274258327279,76.60958948911137,34.96089722810634,56.24276401942612
50.0,50.73716142452629,-5.88495132104808,86.5246049787409,61.03635253889409,82.79298812075135
60.0,6.118283245924998,-17.855339465796266,104.68091303730095,88.00018092901459,97.985492057093
70.0,25.948280226775942,7.768831341825773,90.8181558997718,99.0585274338746,126.33345372622412
80.0,2.529678250278354,-25.568198552668747,105.47066790499493,105.98640441815418,116.58361374045936
90.0,2.4233356595553395,-26.398354240642576,103.71822255186906,109.01613424317098,121.82811042563156
100.0,2.454493334597055,-26.78493248155859,96.98274000535136,105.3585594262326,125.83676203007995
110.0,3.078552288922632,-24.188054134681,60.750102163074104,67.2406596787296,128.1638404862197
120.0,3.38799135400989,-25.82988322586814,62.252012243909704,68.5596709652343,127.53694567974634
130.0,6.975186623586772,-20.282547375030912,25.96874651795182,27.194703626671853,121.3884503762152
140.0,4.996249137873156,-23.49995539174741,23.86861659795278,23.99726239543767,116.64034927668996
150.0,1.7269575347436368,-22.292402201653076,34.21732720035108,24.198633013750342,82.99192926244598
10.0,3.693886473070634,28.446980097000186,73.426090730019,58.335761398610536,91.55921253217709
20.0,4.9742413298156585,-21.420433378135808,32.23335289553665,49.48106522847931,174.48456841844654
30.0,3.9868635217165176,-21.47194027653696,57.856587597976805,88.29293161823635,173.47315545392448
40.0,5.391296213957727,-22.86924424290389,53.41414119091614,78.28010642690202,166.68646335526873
50.0,9.510191748551469,11.34010032810673,74.35824172302947,50.58267218883045,78.9530240525492
60.0,32.156315594332554,5.136590482241445,40.63682470024856,36.68169675119992,103.60309823971495
70.0,1.0583596110316424,-56.1691866365632,116.24833727914309,58.23270428633372,59.89515718907569
80.0,2.5778301167446056,-22.593712644075165,88.09111257799475,72.50043269650051,94.72870182060744
90.0,35.34325448332913,-19.38739735104925,61.1493747155965,64.8899916610212,121.33224290671852
100.0,2.766856094432796,-23.76765828712211,89.0017042535558,83.49819155716308,107.56676310187316
110.0,3.3522659995504744,-22.08273661053572,61.53901948547894,60.65227102703961,112.86971822173432
120.0,3.9166086832144393,-25.867131270032765,72.43271844199212,71.67668039977434,113.31410175129496
130.0,1.3739173523854895,-38.75871087160236,83.36810899015397,36.75987076214947,54.31729698255788
140.0,1.9416058001326897,-21.78192331857711,44.560729334180614,36.15207263496172,93.42641486695192
150.0,2.1608960602910803,-20.887475864990733,45.14610350778128,39.115508034090006,99.56021939325302
10.0,4.100572965754331,27.74590903473644,76.43216561144803,70.24737439331753,107.26074185478448
20.0,3.247843867358578,-48.36713467696725,118.41829851855582,50.26280300070407,53.66149235127314
30.0,3.5455457752343347,28.26722963749273,70.75449521066119,50.20481382369616,83.56925450955374
40.0,3.207070691828791,26.457843225256543,53.402905732692965,33.236714969155635,73.86225575463794
50.0,18.050228057303904,-10.554010450509647,109.443637758878,57.39127229114578,63.25930703695786
